,created_on,property_type,place_name,state_name,lat,lon,price,currency,price_aprox_usd,surface_total_in_m2,rooms,expenses,properati_url
53326,2014-04-01,apartment,Caballito,|Argentina|Capital Federal|Caballito|,-34.617331,-58.457152,83800.0,USD,83800.0,,1.0,,http://www.properati.com.ar/eoyp_venta_departamento_caballito
53327,2014-04-01,apartment,Caballito,|Argentina|Capital Federal|Caballito|,-34.617331,-58.457152,158000.0,USD,158000.0,,1.0,,http://www.properati.com.ar/eoyq_venta_departamento_caballito
53328,2014-04-01,apartment,Caballito,|Argentina|Capital Federal|Caballito|,-34.617331,-58.457152,76400.0,USD,76400.0,,1.0,,http://www.properati.com.ar/eoyr_venta_departamento_caballito
53329,2014-04-01,apartment,Caballito,|Argentina|Capital Federal|Caballito|,-34.617331,-58.457152,76250.0,USD,76250.0,,1.0,,http://www.properati.com.ar/eoys_venta_departamento_caballito
53330,2014-04-01,apartment,Caballito,|Argentina|Capital Federal|Caballito|,-34.617331,-58.457152,76700.0,USD,76700.0,,1.0,,http://www.properati.com.ar/eoyt_venta_departamento_caballito
53331,2014-04-01,apartment,Caballito,|Argentina|Capital Federal|Caballito|,-34.617331,-58.457152,118800.0,USD,118800.0,,1.0,,http://www.properati.com.ar/eoyu_venta_departamento_caballito
53332,2014-04-01,PH,Palermo,|Argentina|Capital Federal|Palermo|,-34.576163,-58.440855000000006,220000.0,USD,220000.0,30.0,4.0,,http://www.properati.com.ar/eoyv_venta_ph_palermo
53333,2014-04-01,apartment,Palermo Hollywood,|Argentina|Capital Federal|Palermo|Palermo Hollywood|,-34.583929,-58.443788,152500.0,USD,152500.0,59.0,3.0,,http://www.properati.com.ar/eoyw_venta_departamento_palermo-hollywood
53334,2014-04-01,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.580906,-58.40411700000001,1250000.0,USD,1250000.0,,4.0,,http://www.properati.com.ar/eoyx_venta_departamento_palermo
53335,2014-04-01,house,Olivos,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,-34.517905999999996,-58.488601,495000.0,USD,495000.0,288.0,5.0,,http://www.properati.com.ar/eoz1_venta_casa_olivos
53336,2014-04-01,apartment,Vicente López,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|,-34.527564,-58.470804,115000.0,USD,115000.0,45.0,2.0,,http://www.properati.com.ar/eoz2_venta_departamento_vicente-lopez
53337,2014-04-01,house,Capital Federal,|Argentina|Capital Federal|,-34.640562,-58.431984,210000.0,USD,210000.0,160.0,6.0,,http://www.properati.com.ar/eoz3_venta_casa_capital-federal
53338,2014-04-01,house,La Lucila,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|La Lucila|,-34.497637,-58.494131,330000.0,USD,330000.0,168.0,4.0,,http://www.properati.com.ar/eoz5_venta_casa_la-lucila
53339,2014-04-01,apartment,Chacarita,|Argentina|Capital Federal|Chacarita|,-34.583701,-58.446352000000005,195000.0,USD,195000.0,96.0,4.0,,http://www.properati.com.ar/eoz6_venta_departamento_chacarita
53340,2014-04-01,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.582155,-58.42110699999999,132000.0,USD,132000.0,43.0,2.0,,http://www.properati.com.ar/eoz7_venta_departamento_palermo
53341,2014-04-01,apartment,Recoleta,|Argentina|Capital Federal|Recoleta|,-34.594659,-58.395302,410000.0,USD,410000.0,174.0,4.0,,http://www.properati.com.ar/eoz8_venta_departamento_recoleta
53342,2014-04-01,apartment,San Miguel,|Argentina|Bs.As. G.B.A. Zona Norte|San Miguel|,-34.53385,-58.715874,56000.0,USD,56000.0,42.0,2.0,,http://www.properati.com.ar/eozs_venta_departamento_san-miguel
53343,2014-04-01,apartment,Barrio Norte,|Argentina|Capital Federal|Barrio Norte|,-34.595459999999996,-58.404284999999994,350000.0,USD,350000.0,122.0,4.0,,http://www.properati.com.ar/eozv_venta_departamento_barrio-norte
53344,2014-04-01,house,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.387105,-60.267002000000005,,,,,5.0,,http://www.properati.com.ar/eozw_venta_casa_tres-arroyos
53345,2014-04-01,house,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.38021,-60.272367,300000.0,USD,300000.0,,,,http://www.properati.com.ar/eozy_venta_casa_tres-arroyos
53346,2014-04-01,house,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.375433,-60.273967000000006,120000.0,USD,120000.0,,,,http://www.properati.com.ar/ep01_venta_casa_tres-arroyos
53347,2014-04-01,PH,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.375192,-60.283243000000006,,,,,,,http://www.properati.com.ar/ep07_venta_ph_tres-arroyos
53348,2014-04-01,apartment,Capital Federal,|Argentina|Capital Federal|,-38.856013,-60.05814399999999,400000.0,ARS,49980.0,,2.0,,http://www.properati.com.ar/ep09_venta_departamento_capital-federal
53349,2014-04-01,house,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.377334000000005,-60.279338,,,,206.0,6.0,,http://www.properati.com.ar/ep0d_venta_casa_tres-arroyos
53350,2014-04-01,apartment,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.381192,-60.270193000000006,,,,,4.0,,http://www.properati.com.ar/ep0g_venta_departamento_tres-arroyos
53351,2014-04-01,house,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,,,,,,400.0,9.0,,http://www.properati.com.ar/ep0l_venta_casa_tres-arroyos
53352,2014-04-01,PH,Oriente,|Argentina|Buenos Aires Interior|Coronel Dorrego|Oriente|,-38.742459000000004,-60.610455,,,,,,,http://www.properati.com.ar/ep0p_venta_ph_oriente
53353,2014-04-01,house,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.377465,-60.284654,80000.0,USD,80000.0,,3.0,,http://www.properati.com.ar/ep0r_venta_casa_tres-arroyos
53354,2014-04-01,apartment,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.377431,-60.284696999999994,,,,,2.0,,http://www.properati.com.ar/ep0s_venta_departamento_tres-arroyos
53355,2014-04-01,house,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.369261,-60.270499,130000.0,USD,130000.0,120.0,5.0,,http://www.properati.com.ar/ep0u_venta_casa_tres-arroyos
53356,2014-04-01,house,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.378735,-60.283708999999995,,,,,5.0,,http://www.properati.com.ar/ep0w_venta_casa_tres-arroyos
53357,2014-04-01,house,Capital Federal,|Argentina|Capital Federal|,-38.859556,-60.076693999999996,,,,,5.0,,http://www.properati.com.ar/ep0x_venta_casa_capital-federal
53358,2014-04-01,house,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.376364,-60.265613,600000.0,ARS,74970.01,,5.0,,http://www.properati.com.ar/ep10_venta_casa_tres-arroyos
53359,2014-04-01,house,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.378221,-60.276001,,,,,9.0,,http://www.properati.com.ar/ep11_venta_casa_tres-arroyos
53360,2014-04-01,house,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.379761,-60.267818000000005,85000.0,USD,85000.0,300.0,5.0,,http://www.properati.com.ar/ep12_venta_casa_tres-arroyos
53361,2014-04-01,house,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.381797999999996,-60.27938100000001,160000.0,USD,160000.0,222.0,7.0,,http://www.properati.com.ar/ep13_venta_casa_tres-arroyos
53362,2014-04-01,house,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.382216,-60.280452000000004,,,,,7.0,,http://www.properati.com.ar/ep15_venta_casa_tres-arroyos
53363,2014-04-01,house,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.386912,-60.280333999999996,70000.0,USD,70000.0,,5.0,,http://www.properati.com.ar/ep16_venta_casa_tres-arroyos
53364,2014-04-01,house,Capital Federal,|Argentina|Capital Federal|,-38.855963,-60.075095999999995,,,,,4.0,,http://www.properati.com.ar/ep1a_venta_casa_capital-federal
53365,2014-04-01,apartment,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.378215000000004,-60.285116,300000.0,ARS,37485.0,,3.0,,http://www.properati.com.ar/ep1b_venta_departamento_tres-arroyos
53366,2014-04-01,apartment,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.379856,-60.290834,400000.0,ARS,49980.0,,3.0,,http://www.properati.com.ar/ep1c_venta_departamento_tres-arroyos
53367,2014-04-01,apartment,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.373552000000004,-60.269702,,,,,6.0,,http://www.properati.com.ar/ep1e_venta_departamento_tres-arroyos
53368,2014-04-01,house,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.382795,-60.266247,950000.0,ARS,118702.51,,7.0,,http://www.properati.com.ar/ep1g_venta_casa_tres-arroyos
53369,2014-04-01,house,Capital Federal,|Argentina|Capital Federal|,-38.849931,-60.077723999999996,,,,600.0,5.0,,http://www.properati.com.ar/ep1n_venta_casa_capital-federal
53370,2014-04-01,apartment,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.384640999999995,-60.2756,,,,,4.0,,http://www.properati.com.ar/ep1p_venta_departamento_tres-arroyos
53371,2014-04-01,house,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,,,,,,,5.0,,http://www.properati.com.ar/ep1r_venta_casa_tres-arroyos
53372,2014-04-01,house,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,,,800000.0,ARS,99960.01,,5.0,,http://www.properati.com.ar/ep1t_venta_casa_tres-arroyos
53373,2014-04-01,apartment,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,,,490000.0,ARS,61225.5,,2.0,,http://www.properati.com.ar/ep1x_venta_departamento_tres-arroyos
53374,2014-04-01,house,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.373348,-60.262015000000005,700000.0,ARS,87465.01,,5.0,,http://www.properati.com.ar/ep1y_venta_casa_tres-arroyos
53375,2014-04-01,house,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.369209000000005,-60.284114,,,,,7.0,,http://www.properati.com.ar/ep1z_venta_casa_tres-arroyos
53376,2014-04-01,apartment,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.378785,-60.275583999999995,,,,,5.0,,http://www.properati.com.ar/ep20_venta_departamento_tres-arroyos
53377,2014-04-01,house,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.386763,-60.280442,,,,,5.0,,http://www.properati.com.ar/ep22_venta_casa_tres-arroyos
53378,2014-04-01,house,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.37334,-60.269428000000005,950000.0,ARS,118702.51,296.0,8.0,,http://www.properati.com.ar/ep25_venta_casa_tres-arroyos
53379,2014-04-01,house,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.370552,-60.26586999999999,750000.0,ARS,93712.51,400.0,4.0,,http://www.properati.com.ar/ep29_venta_casa_tres-arroyos
53380,2014-04-01,house,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.385709999999996,-60.259898,400000.0,ARS,49980.0,,4.0,,http://www.properati.com.ar/ep2a_venta_casa_tres-arroyos
53381,2014-04-01,house,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.361635,-60.2683,650000.0,ARS,81217.51,,5.0,,http://www.properati.com.ar/ep2d_venta_casa_tres-arroyos
53382,2014-04-01,apartment,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.375944,-60.253547999999995,400000.0,ARS,49980.0,,2.0,,http://www.properati.com.ar/ep2e_venta_departamento_tres-arroyos
53383,2014-04-01,house,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,,,460000.0,ARS,57477.0,,5.0,,http://www.properati.com.ar/ep2f_venta_casa_tres-arroyos
53384,2014-04-01,apartment,Tres Arroyos,|Argentina|Buenos Aires Interior|Tres Arroyos|Tres Arroyos|,-38.383263,-60.27431899999999,90000.0,USD,90000.0,66.0,3.0,,http://www.properati.com.ar/ep2j_venta_departamento_tres-arroyos
53385,2014-04-01,apartment,Vicente López,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Vicente López|,-34.517342,-58.493002000000004,290000.0,USD,290000.0,141.0,4.0,,http://www.properati.com.ar/ep2s_venta_departamento_vicente-lopez
53386,2014-04-01,house,Resistencia,|Argentina|Chaco|Resistencia|,-27.444423999999998,-58.97061899999999,900000.0,ARS,112455.01,200.0,,,http://www.properati.com.ar/ep2t_venta_casa_resistencia
53387,2014-04-01,house,Rosario,|Argentina|Santa Fe|Rosario|,-32.937908,-60.732519999999994,145000.0,USD,145000.0,400.0,5.0,,http://www.properati.com.ar/ep2v_venta_casa_rosario_amuchastegui_836
53388,2014-04-01,apartment,Villa Pueyrredón,|Argentina|Capital Federal|Villa Pueyrredón|,-34.567302000000005,-58.493798999999996,128000.0,USD,128000.0,60.0,3.0,,http://www.properati.com.ar/ep2z_venta_departamento_villa-pueyrredon
53389,2014-04-01,apartment,Villa Urquiza,|Argentina|Capital Federal|Villa Urquiza|,-34.567302000000005,-58.493798999999996,128000.0,USD,128000.0,60.0,3.0,,http://www.properati.com.ar/ep33_venta_departamento_villa-urquiza
53390,2014-04-01,apartment,Saavedra,|Argentina|Capital Federal|Saavedra|,-34.567302000000005,-58.493798999999996,128000.0,USD,128000.0,60.0,3.0,,http://www.properati.com.ar/ep34_venta_departamento_saavedra
53391,2014-04-01,apartment,Villa Carlos Paz,|Argentina|Córdoba|Villa Carlos Paz|,-31.424341,-64.499873,1250000.0,ARS,156187.52,70.0,4.0,,http://www.properati.com.ar/ep3e_venta_departamento_villa-carlos-paz
53392,2014-04-01,PH,Villa General Mitre,|Argentina|Capital Federal|Villa General Mitre|,-34.614005,-58.467395999999994,1700000.0,ARS,212415.03,117.0,3.0,,http://www.properati.com.ar/ep3f_venta_ph_villa-general-mitre
53393,2014-04-01,apartment,Capital Federal,|Argentina|Capital Federal|,-34.604503,-58.393877,93000.0,USD,93000.0,44.0,1.0,,http://www.properati.com.ar/ep3g_venta_departamento_capital-federal
53394,2014-04-01,apartment,Recoleta,|Argentina|Capital Federal|Recoleta|,-34.591784000000004,-58.393944,850000.0,USD,850000.0,383.0,6.0,,http://www.properati.com.ar/ep3h_venta_departamento_recoleta
53395,2014-04-01,apartment,Mar del Plata,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,,,50000.0,USD,50000.0,30.0,1.0,,http://www.properati.com.ar/ep3k_venta_departamento_mar-del-plata
53396,2014-04-01,house,Tres de Febrero,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|,-34.585966,-58.596546999999994,140000.0,USD,140000.0,,2.0,,http://www.properati.com.ar/ep4t_venta_casa_tres-de-febrero
53397,2014-04-01,house,Moreno,|Argentina|Bs.As. G.B.A. Zona Oeste|Moreno|,-34.631329,-58.767729,,,,,,,http://www.properati.com.ar/ep4u_venta_casa_moreno
53398,2014-04-01,PH,General San Martín,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|,-34.56286,-58.542643000000005,90000.0,USD,90000.0,103.0,4.0,,http://www.properati.com.ar/ep4v_venta_ph_general-san-martin
53399,2014-04-01,house,Vicente López,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|,-34.517283,-58.4873,540000.0,USD,540000.0,290.0,4.0,,http://www.properati.com.ar/ep55_venta_casa_vicente-lopez
53400,2014-04-01,apartment,Mar del Plata,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,-38.01708,-57.547017000000004,145000.0,USD,145000.0,112.0,2.0,,http://www.properati.com.ar/ep57_venta_departamento_mar-del-plata
