,created_on,property_type,place_with_parent_names,price_aprox_usd,surface_in_m2,floor,rooms
9479,2015-12-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Benavidez|,710000.0,1006.0,,
9482,2015-12-01,house,|Argentina|Buenos Aires Costa Atlántica|Costa Esmeralda|,265000.0,1000.0,,
9483,2015-12-01,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,75000.0,40.0,,3.0
9484,2015-12-01,store,|Argentina|Córdoba|,47242.6,0.0,,1.0
9485,2015-12-01,house,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|,150000.0,0.0,,4.0
9486,2015-12-01,house,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|Banfield|,90000.0,0.0,,4.0
9487,2015-12-01,house,|Argentina|Buenos Aires Interior|Luján|Luján|,120000.0,80.0,,3.0
9494,2015-12-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|BarrioPortezuelo|,175000.0,71.0,,
9495,2015-12-01,apartment,|Argentina|Santa Fe|Rosario|,98956.88,61.0,,
9496,2015-12-01,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|San Justo|,95000.0,230.0,,
9497,2015-12-01,apartment,|Argentina|Capital Federal|Recoleta|,169000.0,48.0,,
9501,2015-12-01,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,60000.0,40.0,,
9506,2015-12-01,house,|Argentina|Córdoba|Bell Ville|,83517.17,940.0,,
9507,2015-12-01,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Castelar|,170000.0,176.0,,
9508,2015-12-01,apartment,|Argentina|Córdoba|Punilla|,72486.6,60.0,,
9509,2015-12-01,apartment,|Argentina|Santa Fe|Rosario|,70595.65,40.0,,
9510,2015-12-01,PH,|Argentina|Capital Federal|Monte Castro|,78000.0,39.0,,
9511,2015-12-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|San Martín|,58000.0,180.0,,
9512,2015-12-01,house,|Argentina|Buenos Aires Costa Atlántica|Villa Gesell|,150000.0,600.0,,
9513,2015-12-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|San Martín|,58000.0,200.0,,
9515,2015-12-02,house,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,750000.0,1377.0,,7.0
9526,2015-12-02,house,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,130000.0,433.0,,5.0
9527,2015-12-02,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,190000.0,135.0,,4.0
